Info3	hippocampus	kidney	spleen	liver	striatum	cerebellum	cortex	all
null	160.4376276006	176.9099960327	170.8450012207	228.0260100391	347.5032281989	287.8515437519	320.6697437175	265.6429853636
Adh1	362.4039658668	326729.1875	3640.8499755859	941210.592734389	163.2972522733	663.9624454938	982.8802862954	649.5852815978
Ttc1	19432.3291339156	5483.8950195313	6998.0197753906	7156.316160293	12050.1554079743	18630.4447354098	16164.6275352416	14853.4571655112
null	263.250868657	235.2149963379	385.6250076294	164.4224287914	203.0500653663	243.0539632913	412.8696410028	264.2051240965
Pcyt1b	1544.3874817152	518.3300018311	167.8099975586	141.8634437544	917.3639118904	980.1373977816	1789.7862909074	1431.6457909654
LOC502611	2254.8535006434	897.6200256348	1191.7600097656	3689.3427661963	1138.2808912055	1815.9386809713	2389.7935800683	2079.0871280529
Fsip1	237.9236520755	290.1199951172	406.7300109863	195.3823128035	344.9876938783	184.8887013996	198.2920553293	199.5984848501
null	410.8547630828	211.125	248.6549987793	236.731791561	323.0129430007	646.7203823397	494.8267929553	398.0721825837
Cgi12	8833.6782249421	7373.2299804688	9942.9848632813	6049.1583104386	6616.6589978627	9875.8618532238	8941.4205725338	8578.1897740012
Kdr	7518.5255411032	766.2050247192	541.3950042725	112.0913369835	6650.8245272141	4078.0708430422	7422.685184871	6560.1394958287
null	7749.4043770689	5311.1149902344	9966.8298339844	5825.5286381385	4369.3644452694	9235.8943788076	6542.2859353383	6719.3848589296
null	258.610466879	440.4149932861	968.5749816895	604.7520472796	256.101328102	322.6801291625	346.2795965097	333.6775737677
Cfl1	151353.695410469	28389.1044921875	90109.73046875	10306.8964689069	60807.0033956199	95810.1998958663	139093.081045897	103328.582414201
Hs3st1	3310.5120490225	902.0399780273	1530.6000366211	164.6759984272	2077.4657324074	5368.3680103936	2111.1122642657	2237.551899803
Kcnj12	1288.1836101138	1518.5850219727	298.125	1181.2475008318	1241.4025192283	3630.365151264	1624.9578713506	1412.5616303412
Slc38a2	21736.6922449786	29075.375	22547.7797851562	16644.2943962033	15525.6036860305	37873.0319100374	29730.1180374202	25232.9663383319
Olr857_predicted	1599.6442014802	850.2699890137	1083.5	1190.1351268397	1419.4837937268	2786.8006952133	1824.6025518701	1576.7636724081
null	697.2237501745	455.1900024414	1873.6750488281	1784.6843832111	591.4069876266	489.8529353533	826.3982370735	761.388256494
Casp11	275.726846186	323.3999938965	2555.2649536133	1399.0146903724	357.3152406545	2161.4550335429	406.8525950781	421.4113014446
RGD1307231_predicted	3069.9227207591	1064.1300048828	2838.1100463867	737.9365292351	2919.4097616265	6506.6528873261	3548.815979788	3117.4004522432
null	240.45198826	173.6199951172	355.3600006104	512.9559569951	525.2258308237	277.036154412	285.2895435618	284.6689746287
LOC363502	824.6744594683	102.6050033569	576.6150131226	198.8877332355	662.5609260542	557.4875439604	463.8590538907	550.9097540503
Cysltr2	203.2380402816	236.189994812	129.1150016785	129.0754649414	250.3962037615	149.0028814978	248.1056223755	204.6616022942
null	250.9670319164	190.7750015259	391.5299911499	200.4341513562	379.3281323155	336.7031849276	251.6498893746	253.0106533585
RGD1309747_predicted	4076.4037427762	1535.3100585938	3885.8199462891	2082.8873564013	3125.5648095818	3009.7879978638	4122.0578083282	3582.4190539539
LOC313296	5794.4629440148	524.1950149536	281.6699981689	316.6505254341	4385.4943417871	3592.8274316531	6335.8253651047	4979.5958523638
Sah	288.926501279	15597.009765625	334.9100112915	2067.387932767	976.9308328213	440.1799653362	346.7873515499	362.1582362513
Bf	349.7834206241	693.6800231934	750.1300048828	9798.2910146094	331.4996739165	533.6950298373	397.8632834977	392.7559186252
Olr544_predicted	291.9189380282	213.8699951172	186.4300003052	216.7491728557	337.9906901841	294.9407053477	208.6596331466	244.7601288618
null	159.3474569724	175.0899963379	255.0199966431	330.7707687228	134.7232696108	158.4251481074	205.8335815487	183.9762052259
RGD1305453	10261.423125959	3164.8599853516	2873.9599609375	8610.1906353422	8189.7263411277	9386.7499700168	10206.8419275533	9689.5092124147
Klre1	245.9985701828	219.3499984741	2515.2299804688	294.3704540455	247.0410035396	277.886204354	190.9745988516	214.433390884
null	1347.3061339098	162.1899986267	236.3249969482	258.7719414582	1262.3038259067	316.4778960271	533.8960377886	440.8915786303
Kcne4	504.3486449312	109.9849967957	247.4700050354	162.0201559776	340.053432892	325.8927198146	362.3772036101	347.7248147286
LOC502689	197.6214801748	398.8150100708	185.6700057983	158.7886532151	213.9221615845	203.0161730129	164.3669892793	179.6242163266
Dkk3	51587.6237561328	577.1000061035	1128.8900146484	626.4136147498	4959.6929756129	7979.4367676313	50971.1057852784	32276.819917371
null	300.2061531414	253.4149932861	177.4850006104	233.5610902955	292.4469896908	206.2724470203	211.7257454478	215.4571702867
null	291.2235645947	699.2300109863	3058.8850097656	153.4504235403	269.5352739516	268.9366188035	354.6290049709	315.393494794
null	228.8127583408	188.8049964905	242.7249984741	179.0983304917	226.2310455868	214.158358988	204.4951243011	207.6816953342
LOC311352	170.7433536599	204.375	361.6699981689	206.0708085028	268.7612496553	181.2130913496	250.8226839007	213.9851425994
